"RESULT","DAY","ID"
4,21/04/23,812
5,20/09/22,162
5,21/04/02,717
5,20/09/28,209
5,20/10/24,742
3,20/09/16,908
2,20/10/20,57
5,20/06/15,72
6,20/06/22,24
6,21/04/27,848
4,20/07/11,144
6,20/09/29,547
4,20/09/10,812
5,21/03/17,42
3,21/02/12,620
4,21/03/14,162
4,20/08/14,891
3,20/07/24,801
5,20/07/04,161
3,20/08/26,679
5,21/03/05,577
5,21/05/12,887
4,20/11/29,223
6,21/03/01,367
3,20/11/15,159
6,20/10/11,735
3,20/12/22,887
4,20/12/26,234
4,20/10/31,742
3,20/12/29,222
4,20/10/19,944
5,20/08/05,825
6,21/04/05,826
5,20/11/23,577
6,21/01/06,216
4,20/06/03,882
3,20/07/12,943
3,20/06/01,250
2,21/03/03,620
4,21/05/08,893
3,20/09/14,285
5,21/05/23,144
5,21/05/09,21
4,20/12/21,137
5,20/08/27,718
4,20/07/23,971
3,21/02/07,541
4,21/01/04,166
5,20/06/26,230
3,20/09/13,539
5,20/08/30,908
3,21/01/11,428
5,20/07/07,879
5,20/08/25,234
3,21/01/21,521
3,20/12/31,979
5,20/09/06,253
4,20/06/22,844
5,20/09/27,428
3,21/03/05,584
2,21/04/01,188
3,21/04/22,847
2,21/02/02,868
5,20/11/25,547
2,21/04/21,848
6,20/09/10,92
5,20/10/19,887
5,21/04/30,735
4,21/01/14,324
4,20/11/26,979
4,20/10/24,24
5,20/07/09,941
3,20/08/07,161
3,20/11/10,737
3,21/04/13,221
4,21/03/02,908
3,20/08/28,42
4,20/11/05,253
5,20/09/22,914
3,20/08/04,588
4,20/11/01,795
5,20/10/08,860
5,20/05/26,356
3,20/08/19,795
3,20/07/27,577
3,20/09/02,234
5,21/01/04,188
4,20/08/27,57
3,21/05/07,382
3,20/11/03,746
3,21/05/13,908
6,20/12/30,934
4,20/12/07,155
6,20/10/25,577
4,20/12/09,690
4,20/07/02,746
6,20/08/28,472
5,21/03/28,250
3,21/04/02,42
6,21/01/01,879
2,21/03/29,442
5,21/03/26,546
6,20/06/24,324
6,20/11/21,299
2,20/10/30,344
4,20/08/20,554
4,20/10/29,522
6,20/09/01,428
3,21/01/06,250
4,20/08/07,362
6,20/11/16,795
3,20/08/20,284
4,21/03/14,221
4,20/12/10,848
3,21/04/07,737
6,20/07/31,546
5,20/09/10,230
3,20/10/24,72
4,20/09/14,746
2,21/03/09,284
3,20/12/15,554
3,20/09/02,383
3,20/12/03,231
4,20/05/30,472
3,21/02/27,344
2,20/09/22,383
4,21/01/15,285
4,20/06/24,979
4,20/05/27,825
4,20/08/03,914
4,20/12/16,539
6,20/07/02,801
4,20/10/13,554
3,20/08/04,166
2,20/08/12,871
4,20/07/06,165
4,21/03/25,383
5,21/01/21,24
5,20/10/08,879
5,21/05/09,887
4,20/08/28,690
4,20/12/16,356
6,21/05/10,826
2,21/05/02,144
4,21/02/27,340
4,20/09/19,539
3,21/04/10,700
4,20/07/14,893
6,20/11/19,442
2,21/03/21,893
5,20/11/13,362
5,20/09/26,159
3,20/08/26,735
5,20/12/07,754
4,20/09/10,344
4,20/12/13,879
4,21/01/15,188
3,20/08/22,522
4,21/05/07,721
4,20/10/23,428
3,20/10/13,181
3,20/07/16,155
4,20/07/14,511
4,20/10/30,159
4,20/12/18,13
4,21/01/12,746
5,20/12/11,324
4,20/06/24,541
3,21/03/29,223
3,21/01/28,795
4,20/09/13,240
5,20/12/21,669
3,20/08/25,868
6,21/05/16,145
5,20/10/22,541
5,21/03/14,479
3,21/01/16,442
3,21/03/13,106
2,20/10/26,253
3,21/02/24,57
4,20/11/11,253
4,20/07/24,106
3,20/09/24,588
5,20/08/29,63
4,21/04/14,344
5,21/01/12,906
4,21/05/05,269
4,21/01/02,85
6,21/01/12,893
3,20/12/05,34
2,20/12/24,976
5,20/07/01,223
6,20/09/19,735
4,20/07/27,721
3,20/08/28,908
3,20/07/20,669
4,20/11/23,934
3,21/03/15,891
5,20/11/23,679
5,20/09/26,826
5,20/09/21,717
3,21/04/24,860
3,21/01/23,137
5,21/01/30,382
6,20/10/09,559
4,20/11/13,577
4,21/02/28,292
2,20/09/22,882
2,20/06/29,554
3,20/09/09,472
2,21/02/04,383
4,20/07/24,209
4,21/02/10,13
4,20/10/01,648
5,21/02/09,860
2,20/07/01,976
5,20/09/27,669
3,21/01/18,795
3,20/09/11,144
4,21/03/04,161
4,20/06/25,801
6,21/02/18,812
6,21/03/30,253
2,21/01/10,432
3,20/09/25,887
3,20/08/23,721
6,20/11/13,253
6,20/11/10,868
5,21/01/02,428
3,20/09/02,57
3,20/07/27,162
6,20/06/26,165
4,21/04/29,690
5,21/04/24,976
4,20/09/30,155
3,21/03/25,13
5,20/05/30,250
3,20/06/13,234
4,21/04/01,216
4,20/09/20,908
3,21/04/11,908
4,20/12/15,382
4,20/11/09,498
4,21/02/15,142
5,20/05/30,161
5,21/01/08,209
6,21/04/19,541
3,20/12/02,718
4,20/08/09,483
4,21/04/18,145
5,20/10/08,428
4,20/10/22,106
3,20/12/18,893
4,21/05/21,971
4,20/12/01,679
4,20/12/02,472
5,20/09/24,106
5,20/10/30,46
4,21/03/12,700
4,20/06/30,24
6,20/11/08,860
3,20/07/17,860
2,21/02/09,679
2,21/04/06,222
6,21/05/16,483
4,21/03/02,941
4,20/07/11,159
4,21/03/20,362
4,21/03/30,250
6,20/09/09,620
5,20/11/27,577
4,20/09/11,428
4,20/12/26,868
3,20/09/24,392
5,20/06/21,356
2,20/06/11,943
5,20/08/21,908
4,21/04/15,483
3,21/04/05,690
4,20/06/22,362
5,21/03/20,721
4,20/05/29,145
3,20/05/27,442
6,20/10/10,679
4,21/04/13,718
2,20/06/16,144
3,20/07/13,521
3,21/02/07,145
4,21/01/19,85
3,21/02/28,344
3,21/01/17,63
6,20/11/07,785
2,21/02/21,541
3,20/11/10,737
6,21/02/20,230
4,21/04/08,735
4,20/09/02,546
6,21/03/13,46
2,20/11/13,489
3,21/02/18,137
5,21/01/11,57
4,21/05/01,847
4,21/04/08,392
4,21/03/08,941
5,20/12/12,250
4,21/05/18,62
3,20/11/05,648
2,20/07/30,85
3,20/09/04,679
3,21/04/15,848
3,20/06/22,40
5,20/08/18,906
5,21/03/02,746
3,20/12/27,577
4,21/04/24,844
2,20/10/17,844
4,20/11/05,137
6,20/10/18,383
4,20/07/28,554
4,20/12/10,269
4,20/09/24,340
4,20/12/22,588
6,21/04/15,240
4,20/11/01,669
4,20/10/27,46
6,20/09/14,868
3,20/09/07,941
4,20/09/11,513
4,20/12/20,57
4,21/02/25,292
2,21/02/07,216
3,21/05/08,547
4,20/11/03,541
4,20/11/11,487
5,20/11/28,440
2,20/09/18,362
4,20/11/25,234
2,20/10/04,718
3,21/02/14,487
4,20/07/07,92
3,20/12/10,340
4,21/01/05,13
4,21/01/12,976
2,20/08/29,97
3,20/10/21,285
3,21/01/08,882
3,21/01/14,882
4,21/03/21,292
4,21/04/14,533
2,21/01/16,906
6,20/10/02,292
4,20/08/07,971
5,21/01/28,383
4,21/04/11,250
5,20/07/23,554
3,21/03/07,690
2,21/04/16,679
4,21/01/10,324
6,20/07/30,253
3,20/07/25,844
4,21/04/25,487
4,21/04/04,285
4,21/01/04,541
4,20/10/10,479
5,21/03/30,240
5,21/03/18,584
3,20/11/30,137
3,20/06/27,533
4,21/01/03,97
4,21/02/19,916
4,20/07/27,231
4,21/01/31,299
4,20/11/18,908
5,21/05/06,382
4,21/02/20,648
4,20/10/11,801
4,20/12/12,735
4,20/05/28,826
3,20/10/27,34
4,21/02/16,159
5,21/03/27,42
4,21/04/27,63
3,20/06/03,906
5,21/05/10,24
4,20/12/22,230
5,20/08/05,943
2,21/05/02,487
4,20/12/08,606
2,20/07/26,489
5,21/03/08,826
3,21/03/10,648
4,21/03/25,230
3,21/01/02,367
5,20/12/10,230
6,20/08/13,145
3,20/08/16,887
6,20/08/05,162
3,20/10/12,588
3,20/11/08,344
4,20/11/12,21
3,20/06/04,436
5,21/02/07,976
5,21/02/20,155
5,20/10/19,222
5,20/12/06,893
4,20/07/21,539
3,20/06/01,679
3,21/02/11,882
2,20/08/22,216
4,20/12/01,166
4,20/09/15,606
2,21/02/23,479
3,20/07/24,487
2,21/04/07,498
5,21/01/13,890
4,20/11/10,340
3,20/08/11,620
2,20/10/29,57
4,21/01/18,718
3,20/12/07,717
5,21/01/15,521
4,21/02/04,362
4,20/11/04,554
4,20/10/21,812
5,21/02/16,812
5,21/04/07,46
3,20/06/02,679
4,20/09/15,848
4,20/06/08,188
3,20/12/14,230
2,20/09/27,868
5,21/04/07,887
4,21/02/20,795
2,20/08/23,879
4,21/03/06,976
4,20/10/31,284
3,20/06/10,145
4,20/08/26,46
4,20/06/11,106
6,20/06/05,700
3,21/03/09,825
5,20/11/29,144
4,21/05/13,85
4,21/04/30,584
4,20/11/26,498
5,20/09/16,341
4,21/01/27,324
5,20/08/14,700
2,21/02/25,891
3,20/05/29,145
6,21/02/14,24
4,21/01/17,92
6,21/01/31,871
5,21/04/10,795
3,20/12/28,971
4,20/08/15,522
4,20/09/02,269
2,20/12/07,144
2,20/08/29,46
5,20/09/09,62
5,20/09/26,871
5,20/11/23,299
5,21/04/11,356
3,21/04/06,299
5,20/07/14,826
3,21/04/13,240
3,20/10/12,785
4,20/12/06,511
2,20/10/21,221
3,20/11/21,812
2,20/08/22,879
4,21/02/03,916
5,21/04/23,479
5,20/07/25,847
3,20/09/19,299
5,21/01/06,934
5,20/08/19,934
5,20/11/18,498
5,20/10/22,554
2,21/05/07,546
6,21/03/01,162
5,20/12/10,860
5,21/03/13,85
6,20/09/09,690
3,20/11/19,879
6,20/08/11,742
4,20/08/26,221
4,21/03/11,487
4,20/07/24,620
4,20/07/08,161
4,21/04/20,887
4,21/02/01,269
4,21/02/24,344
4,21/05/03,284
3,21/03/06,513
4,21/05/04,367
4,20/12/26,216
5,20/08/14,690
3,20/06/16,847
2,21/01/17,606
3,20/12/22,240
3,21/01/13,944
4,20/06/24,97
4,20/12/22,166
5,21/04/04,159
4,21/05/11,40
4,20/06/18,284
2,21/01/01,489
5,20/11/16,21
4,21/03/11,106
2,20/09/02,144
4,20/12/09,392
2,21/03/16,324
4,21/01/16,737
5,20/11/13,269
4,20/07/20,63
4,20/11/12,288
2,21/05/07,383
2,20/06/16,432
2,20/07/13,522
4,21/05/16,606
4,20/07/24,718
4,20/11/08,42
4,20/12/19,487
5,20/10/22,440
5,21/01/11,908
4,20/06/12,253
2,20/12/23,893
4,21/02/01,522
4,21/01/25,162
4,21/02/11,288
4,21/05/16,547
5,20/10/01,914
2,21/04/04,40
5,20/10/18,893
5,20/09/17,976
5,20/12/17,941
3,20/12/15,21
4,20/07/11,498
3,20/11/30,868
5,21/01/02,879
3,20/10/30,914
3,20/11/30,941
4,20/06/01,63
3,21/04/29,737
6,20/12/11,882
5,20/08/14,893
6,20/11/07,234
4,20/06/01,893
2,21/04/17,344
4,20/10/26,533
5,20/12/25,577
3,21/02/16,559
4,20/11/07,472
3,21/02/10,159
4,21/03/23,825
5,21/05/22,513
3,21/01/05,785
4,20/10/23,914
4,20/10/24,890
5,20/10/02,230
3,20/12/20,914
5,21/03/20,222
5,21/01/14,533
3,20/10/17,533
3,21/03/06,483
6,21/03/02,161
3,21/04/12,442
4,21/02/09,746
2,20/10/10,812
4,20/09/23,42
5,21/01/01,479
5,20/07/29,299
4,20/11/04,97
4,20/12/17,669
6,20/09/06,893
4,20/06/20,285
4,20/12/27,440
4,20/07/31,522
6,21/04/26,893
4,20/12/18,648
5,21/05/02,340
4,21/02/07,717
5,21/04/23,46
5,20/06/06,879
5,20/11/26,737
6,21/01/16,785
4,20/11/18,165
6,21/03/19,292
5,21/02/01,483
3,21/01/29,754
3,20/06/20,620
6,21/05/11,46
4,20/07/27,785
4,20/06/06,812
3,21/02/08,588
5,20/09/16,181
3,20/09/17,234
5,21/01/21,871
4,21/03/09,943
3,20/12/11,155
5,21/01/09,46
3,20/08/06,690
5,20/07/27,584
3,20/10/13,234
3,20/08/28,442
5,20/06/02,746
4,20/08/03,240
4,21/03/12,250
5,21/01/09,40
2,20/12/10,181
5,20/10/20,890
4,20/06/10,472
2,21/01/20,825
2,20/11/01,976
2,20/06/01,908
4,21/04/20,737
4,20/11/28,620
3,20/12/07,577
5,21/03/23,577
6,20/07/14,887
4,20/07/23,934
4,20/08/25,679
4,21/05/12,890
6,20/10/31,721
4,21/02/06,882
3,20/08/27,513
4,20/10/15,155
3,21/03/23,941
5,21/02/06,253
6,21/01/12,230
5,20/08/02,801
2,20/10/09,487
6,21/03/20,155
5,20/08/02,521
4,21/05/20,826
4,20/07/14,979
4,21/03/02,541
5,21/04/20,971
3,20/06/06,547
3,20/06/04,159
5,20/06/15,826
5,21/02/24,825
4,21/05/05,21
4,20/12/18,893
5,20/10/28,253
6,20/09/12,159
3,20/07/30,539
3,21/01/30,882
4,21/04/13,690
2,20/10/18,440
6,21/03/05,679
3,21/02/10,223
6,20/05/28,916
6,21/04/02,801
5,20/06/12,24
4,21/01/13,498
3,21/02/16,533
3,20/11/04,362
3,21/02/19,511
4,20/12/10,341
4,21/01/10,397
5,20/07/27,137
5,21/04/12,62
5,21/01/08,934
3,21/01/20,181
3,21/02/19,669
4,20/06/06,292
5,20/11/06,541
4,20/08/31,891
6,20/10/14,717
3,21/05/14,161
4,20/12/09,533
6,20/09/22,944
4,20/12/24,155
5,20/08/09,234
6,21/01/15,284
2,21/02/26,848
5,21/01/26,737
6,21/04/09,801
6,21/03/03,284
4,20/07/25,559
4,20/06/02,209
4,21/02/08,890
5,20/06/04,879
3,20/11/03,40
5,20/12/12,340
5,21/04/13,554
3,20/09/08,161
4,20/12/02,166
2,21/02/10,57
5,20/07/20,871
5,20/08/30,979
4,21/03/22,522
4,20/09/20,487
4,21/02/09,483
4,20/11/08,63
4,20/08/24,908
5,20/12/10,754
4,20/12/13,554
3,20/08/04,498
3,20/11/08,144
3,20/08/06,916
5,20/10/04,976
5,21/02/22,513
4,20/09/13,479
3,21/05/16,362
3,21/02/23,746
2,20/06/23,669
2,21/01/10,679
5,20/07/16,269
4,20/08/17,577
4,21/05/19,718
2,20/12/08,57
3,20/11/15,559
5,20/09/03,253
3,20/08/24,795
4,21/04/17,223
6,21/03/11,62
6,21/03/26,57
2,20/10/15,240
6,20/11/06,891
3,21/05/13,137
6,20/09/10,367
3,21/01/23,825
5,20/07/20,554
4,21/04/30,356
3,20/11/12,155
4,20/12/12,887
3,20/09/03,742
4,21/05/15,137
5,20/12/29,230
2,20/06/21,891
4,20/10/19,546
4,20/07/17,222
5,21/03/14,801
5,21/03/27,144
3,20/07/07,559
4,20/08/30,63
6,20/08/25,63
2,20/07/24,341
5,21/01/06,890
6,20/10/18,541
2,20/09/29,941
3,20/11/11,547
4,20/10/14,848
5,20/11/21,428
3,20/07/21,223
3,20/10/22,57
3,20/08/03,24
6,21/03/15,801
4,21/05/05,161
4,20/11/03,85
5,21/05/18,341
4,20/06/14,522
2,21/03/27,230
4,20/06/18,700
5,20/11/03,382
5,20/08/31,165
4,20/11/27,341
6,20/11/10,735
2,21/04/19,511
4,20/07/27,812
4,20/06/21,541
4,20/11/21,362
2,20/08/18,63
4,20/12/08,324
5,20/08/07,498
4,20/06/07,893
3,20/08/19,606
3,21/01/16,356
3,21/04/09,795
4,21/02/13,559
2,21/02/21,57
5,20/11/08,882
4,21/01/06,234
3,20/07/01,489
3,20/11/03,754
6,20/11/08,159
3,20/07/25,498
4,21/01/29,941
5,20/10/25,57
5,20/06/09,479
4,21/03/21,392
3,21/05/01,941
2,20/11/24,882
4,21/01/23,436
4,21/05/09,487
4,21/01/09,231
4,20/12/05,432
3,21/02/01,554
4,20/10/25,737
6,21/05/05,21
3,21/05/02,440
3,21/02/02,754
3,20/07/10,690
4,21/04/02,209
4,21/03/01,588
4,21/04/16,269
2,21/04/12,577
4,20/10/06,916
4,20/10/21,97
3,21/01/11,547
5,21/04/27,893
4,21/01/08,340
4,20/07/18,893
5,21/03/25,546
2,21/01/10,539
2,20/10/31,137
6,21/05/08,513
4,21/04/28,42
2,20/10/17,62
4,20/10/24,844
2,21/01/01,483
5,20/08/08,489
4,20/09/23,795
3,20/09/28,223
4,21/02/19,513
5,20/10/02,890
3,21/02/19,356
5,20/07/02,428
4,21/03/28,860
3,21/05/19,21
3,20/09/03,606
5,20/12/10,46
4,20/08/26,57
2,20/12/09,511
5,21/04/28,436
6,20/10/29,42
3,20/09/04,721
4,20/07/16,584
5,20/08/02,511
6,21/02/15,721
5,20/05/29,746
5,20/07/16,13
4,20/10/04,847
6,21/02/22,472
2,20/08/15,679
4,20/08/24,155
5,21/05/16,440
4,20/06/09,62
3,21/05/23,57
4,20/08/25,735
5,21/02/25,165
6,21/04/30,533
2,20/09/23,382
3,20/06/16,679
3,21/04/10,62
4,21/02/02,216
6,20/07/19,231
4,20/10/22,513
5,20/07/08,941
2,20/10/14,324
5,21/03/07,57
5,20/12/08,285
3,21/04/25,826
4,20/09/01,106
2,20/11/07,754
3,20/09/26,498
6,20/07/26,785
6,20/11/16,690
2,21/03/27,513
5,20/10/05,882
4,20/10/27,324
4,21/02/13,539
6,20/07/28,812
3,21/02/26,162
5,21/04/01,209
4,21/03/18,24
3,20/12/21,106
4,20/09/13,848
5,20/07/30,13
4,20/12/12,801
5,20/07/27,62
4,20/10/02,299
5,21/03/26,85
3,20/06/15,559
5,21/02/23,428
4,20/06/17,979
3,20/06/19,914
3,21/03/13,554
4,20/11/18,908
4,21/05/04,42
4,20/08/06,46
4,21/02/06,440
5,21/05/12,340
6,21/01/09,159
4,21/03/05,511
5,21/05/03,392
5,21/05/23,440
3,21/01/28,690
4,21/01/30,284
3,21/02/11,62
4,21/02/24,72
5,20/12/09,240
5,20/09/16,554
2,20/10/02,795
4,21/02/23,42
4,20/09/26,397
4,20/07/28,13
5,21/02/25,356
5,20/12/20,209
4,21/04/24,42
2,20/09/04,234
2,20/07/16,299
6,21/05/19,648
5,21/01/26,440
3,21/05/15,826
4,20/07/17,428
2,21/02/16,231
5,21/01/10,735
2,20/12/11,890
5,21/03/20,844
3,21/01/03,324
3,21/05/05,718
4,21/03/21,356
3,21/02/21,209
6,21/02/19,669
2,20/11/30,324
4,21/02/20,324
4,20/12/09,976
6,20/11/08,735
3,21/02/14,442
2,21/02/23,882
5,21/04/29,230
6,20/06/13,230
4,20/09/30,554
6,20/09/22,871
4,20/10/05,785
3,20/07/31,825
6,20/09/18,559
6,21/02/17,801
3,21/04/07,253
5,20/09/24,440
3,20/12/01,879
2,21/04/19,188
5,21/04/15,34
2,21/04/11,442
3,20/10/01,162
3,21/03/30,46
3,20/07/29,690
3,20/09/28,472
4,21/03/08,539
4,20/08/13,648
2,21/04/24,161
6,20/07/23,382
2,20/09/09,539
4,20/10/09,826
4,21/03/05,46
5,21/03/29,253
5,20/06/05,533
5,20/11/04,891
4,20/10/29,230
4,20/08/15,356
6,21/03/30,253
4,21/02/16,46
6,20/12/19,92
4,20/09/01,209
5,21/02/22,943
2,20/12/27,92
4,20/11/17,513
4,21/03/21,159
3,21/01/04,891
4,20/07/10,231
5,21/04/11,871
4,20/08/14,46
6,21/01/08,717
3,20/09/02,648
2,21/05/03,893
3,20/11/23,648
3,20/11/10,893
4,20/12/17,812
4,21/03/09,344
5,20/06/22,735
4,21/04/07,914
2,21/02/28,137
4,20/10/07,825
4,21/01/21,181
