Result,Day,Player
5,2020-07-04,161
3,2021-05-20,628
3,2020-08-26,679
1,2020-06-24,316
5,2021-03-05,577
4,2020-09-21,884
3,2020-09-07,501
2,2020-12-15,88
5,2021-05-12,887
4,2020-11-29,223
6,2021-03-01,367
3,2020-11-15,159
3,2021-03-05,585
6,2020-10-11,735
3,2020-12-22,887
4,2020-12-26,234
4,2020-10-31,742
3,2020-12-29,222
5,2020-10-31,73
4,2020-10-19,944
1,2021-03-08,439
5,2020-08-05,825
5,2020-09-01,381
6,2021-04-05,826
5,2020-11-23,577
3,2021-03-12,337
6,2021-01-06,216
4,2020-06-03,882
3,2020-07-12,943
4,2020-09-14,1
3,2020-06-01,250
2,2021-03-03,620
1,2020-06-11,477
4,2021-05-08,893
1,2020-07-24,177
1,2020-12-24,29
3,2020-09-14,285
4,2021-01-16,283
2,2020-08-10,447
5,2021-05-23,144
3,2021-01-13,480
5,2021-05-09,21
1,2020-10-17,915
4,2020-12-21,137
5,2020-08-27,718
2,2020-07-27,654
4,2020-07-23,971
1,2020-11-10,429
3,2021-02-07,541
4,2021-01-04,166
4,2021-03-08,548
5,2020-06-26,230
3,2020-09-13,539
5,2020-08-30,908
3,2021-01-11,428
5,2020-07-13,219
5,2020-07-07,879
5,2020-08-25,234
3,2021-01-21,521
4,2020-11-27,843
3,2020-12-31,979
1,2020-08-10,786
5,2020-08-22,490
5,2020-09-06,253
2,2020-11-21,992
4,2020-06-22,844
5,2021-02-26,842
1,2020-06-08,545
1,2021-01-28,430
5,2020-09-27,428
3,2021-03-05,584
5,2020-08-03,575
2,2021-04-01,188
3,2021-04-22,847
2,2020-12-02,154
2,2020-06-05,418
1,2020-09-17,634
5,2021-02-06,331
2,2021-02-02,868
5,2020-11-25,547
2,2020-07-20,729
3,2021-03-13,689
2,2020-06-24,229
2,2021-02-23,977
6,2021-04-15,816
1,2020-11-04,729
5,2021-03-25,956
2,2021-04-21,848
4,2020-12-05,283
3,2020-06-16,911
5,2020-12-12,963
6,2020-09-10,92
3,2020-08-18,29
5,2020-10-19,887
5,2021-04-30,735
1,2021-02-11,35
4,2021-01-14,324
3,2020-06-07,83
4,2020-11-26,979
4,2020-10-24,24
5,2020-07-09,941
3,2020-08-07,161
4,2021-04-07,503
4,2021-05-17,476
2,2020-08-27,551
3,2020-11-10,737
3,2021-04-13,221
4,2021-03-02,908
3,2020-08-28,42
4,2020-11-05,253
6,2020-12-01,815
5,2021-05-06,552
3,2021-02-14,427
5,2020-09-22,914
3,2020-08-04,588
2,2021-03-23,138
4,2020-11-01,795
5,2020-10-08,860
5,2020-05-26,356
2,2021-04-29,719
1,2020-05-27,594
4,2021-02-10,281
2,2020-10-10,544
3,2020-06-18,827
2,2020-10-16,792
3,2021-05-01,656
3,2020-08-19,795
3,2020-07-27,577
1,2020-09-19,171
3,2021-02-22,41
2,2021-01-18,643
2,2021-04-17,888
3,2020-09-02,234
5,2021-01-04,188
4,2020-08-27,57
2,2020-09-28,659
3,2021-05-07,382
1,2020-10-12,410
1,2020-08-25,303
4,2021-05-15,761
1,2020-12-26,793
3,2020-11-03,746
3,2021-05-13,908
4,2020-11-30,384
6,2020-12-30,934
2,2021-05-14,196
3,2020-07-23,832
4,2020-12-07,155
6,2020-10-25,577
4,2020-12-09,690
3,2020-10-01,467
5,2020-08-14,319
4,2020-07-02,746
6,2020-08-28,472
3,2021-04-28,173
4,2020-09-20,291
5,2021-03-28,250
2,2020-12-31,23
3,2021-04-02,42
6,2021-01-01,879
2,2021-03-29,442
5,2021-03-26,546
6,2020-06-24,324
3,2021-03-17,476
6,2020-11-21,299
2,2020-09-08,386
2,2020-10-30,344
5,2021-05-06,650
2,2020-09-17,249
2,2020-06-08,836
4,2020-08-20,554
4,2020-10-29,522
6,2020-09-01,428
3,2021-01-06,250
1,2020-11-18,29
4,2020-08-07,362
1,2020-09-18,308
4,2020-11-27,470
6,2020-11-16,795
4,2020-06-28,346
3,2020-08-20,284
2,2020-06-11,302
1,2021-02-27,467
4,2021-04-12,748
4,2021-03-14,221
3,2020-09-10,635
2,2021-03-12,885
4,2020-12-10,848
3,2021-04-07,737
6,2020-07-31,546
5,2020-09-10,230
3,2020-10-24,72
2,2021-01-03,668
4,2020-09-14,746
2,2021-03-09,284
3,2020-12-15,554
4,2020-09-26,170
3,2020-09-02,383
3,2020-12-03,231
3,2020-07-24,390
4,2020-05-30,472
4,2021-03-29,594
3,2021-05-13,633
3,2021-02-27,344
2,2020-09-22,383
4,2021-01-15,285
4,2020-06-24,979
4,2020-05-27,825
4,2020-08-03,914
6,2020-06-22,710
4,2020-12-16,539
2,2020-12-31,485
6,2020-07-02,801
2,2021-03-30,147
2,2021-01-14,474
5,2021-01-26,551
4,2020-10-13,554
3,2020-08-04,166
5,2021-01-18,176
4,2020-07-28,613
3,2021-03-15,740
2,2020-08-12,871
4,2020-07-06,165
4,2021-03-25,383
6,2021-03-18,109
2,2021-03-30,211
5,2021-01-21,24
5,2020-10-08,879
5,2021-05-09,887
6,2021-05-18,174
4,2020-08-28,690
4,2020-12-16,356
6,2021-05-10,826
3,2020-10-03,639
2,2021-05-02,144
1,2021-01-02,58
4,2021-02-27,340
4,2020-09-19,539
2,2020-10-03,894
3,2021-04-10,700
3,2020-07-30,354
3,2021-02-16,558
2,2021-05-14,797
3,2020-06-22,374
2,2021-01-30,363
2,2020-09-01,964
4,2020-07-14,893
3,2020-07-03,452
6,2020-11-19,442
2,2021-03-21,893
4,2021-04-18,475
1,2021-03-16,723
1,2021-02-24,80
2,2021-05-09,37
3,2020-12-03,394
5,2020-11-13,362
5,2020-12-02,497
5,2020-09-26,159
2,2021-03-12,945
2,2021-05-13,167
3,2021-02-23,551
3,2021-01-12,385
3,2020-08-26,735
4,2020-10-03,334
5,2020-12-07,754
4,2020-09-10,344
4,2020-06-18,789
3,2020-08-04,640
2,2020-07-16,345
4,2020-12-13,879
4,2021-01-15,188
3,2021-03-04,703
3,2021-03-22,842
3,2020-08-22,522
2,2020-10-28,331
4,2021-05-07,721
4,2020-10-23,428
6,2020-06-05,520
1,2020-07-25,836
3,2020-10-13,181
3,2020-07-16,155
4,2020-07-14,511
1,2020-11-14,492
4,2020-11-03,164
4,2020-10-30,159
4,2020-12-18,13
4,2021-01-12,746
5,2020-12-11,324
2,2021-01-26,772
1,2020-08-13,614
4,2020-06-24,541
5,2021-03-25,637
3,2021-03-29,223
2,2021-03-07,923
3,2021-01-28,795
4,2020-09-13,240
2,2021-02-18,794
5,2020-12-21,669
3,2020-08-25,868
3,2020-12-28,959
6,2021-05-16,145
1,2020-09-03,376
5,2020-10-22,541
5,2021-03-14,479
3,2021-01-16,442
3,2021-03-13,106
2,2020-10-26,253
3,2021-02-24,57
4,2020-11-11,253
4,2020-07-24,106
3,2020-09-24,588
4,2021-02-15,251
5,2020-08-29,63
3,2020-07-04,169
4,2021-04-14,344
1,2020-09-18,805
2,2020-07-03,895
3,2020-08-06,839
1,2020-06-22,357
5,2021-01-12,906
1,2020-12-08,917
1,2020-10-15,911
4,2021-05-05,269
4,2021-05-02,502
1,2020-09-01,213
4,2021-01-02,85
6,2021-01-12,893
5,2020-09-02,926
2,2020-12-09,237
3,2020-12-05,34
1,2020-08-29,196
5,2021-04-21,604
2,2020-12-24,976
5,2020-07-01,223
4,2020-11-29,490
6,2020-09-19,735
4,2020-07-27,721
3,2020-08-28,908
1,2020-08-24,670
3,2020-09-24,172
1,2021-03-03,225
3,2020-07-20,669
4,2021-04-28,641
5,2020-08-27,615
4,2020-11-23,934
5,2021-03-13,515
1,2021-03-25,371
3,2021-03-15,891
5,2020-11-23,679
2,2020-09-30,583
1,2021-01-06,875
4,2021-04-13,499
5,2020-09-26,826
5,2020-09-21,717
3,2021-04-24,860
3,2020-11-19,791
4,2020-08-26,870
5,2020-07-25,384
2,2021-01-14,575
1,2021-04-24,585
4,2021-04-25,553
3,2021-01-21,726
3,2020-06-19,680
2,2020-11-10,81
3,2020-10-15,128
3,2020-06-11,345
2,2021-05-24,592
3,2021-01-23,137
5,2021-04-27,59
5,2021-01-30,382
3,2020-09-09,491
4,2020-11-21,872
6,2020-09-12,702
2,2020-08-27,336
3,2021-01-29,260
6,2020-10-09,559
4,2020-11-13,577
4,2021-02-28,292
2,2020-11-15,435
3,2020-07-24,772
2,2020-09-22,882
2,2020-06-29,554
1,2020-08-31,909
3,2020-09-09,472
2,2021-02-04,383
2,2020-11-23,599
4,2020-08-04,553
4,2020-07-24,209
1,2020-09-08,677
4,2021-02-10,13
2,2020-11-28,36
4,2020-10-01,648
5,2021-02-09,860
2,2020-07-01,976
2,2020-08-02,823
5,2020-06-10,508
5,2020-09-27,669
1,2021-01-24,78
3,2021-01-18,795
3,2020-09-11,144
4,2021-03-04,161
3,2020-07-12,336
4,2020-06-25,801
6,2021-02-18,812
3,2020-09-07,229
6,2021-03-30,253
2,2021-01-10,432
2,2021-03-19,612
3,2020-09-25,887
2,2021-04-17,686
4,2020-06-09,978
2,2020-07-04,263
3,2020-08-23,721
6,2020-11-13,253
6,2020-11-10,868
2,2021-03-26,349
5,2020-10-21,375
5,2021-01-02,428
3,2020-09-02,57
2,2021-04-20,768
6,2020-12-15,849
3,2020-07-27,162
6,2020-06-26,165
6,2020-08-30,881
1,2020-06-01,444
1,2020-12-09,134
3,2021-03-11,897
1,2020-11-08,726
4,2021-04-29,690
3,2020-12-01,334
5,2021-04-24,976
2,2020-12-22,899
4,2020-09-30,155
3,2021-03-25,13
5,2020-05-30,250
3,2020-06-13,234
4,2020-12-29,396
4,2021-04-01,216
4,2020-09-20,908
3,2021-02-26,650
3,2020-11-09,232
3,2021-04-11,908
4,2020-07-28,579
3,2021-01-29,466
4,2020-12-15,382
4,2020-11-09,498
4,2021-02-15,142
3,2020-10-09,430
5,2020-05-30,161
3,2020-08-11,274
5,2021-01-08,209
3,2020-10-23,437
6,2021-04-19,541
3,2020-09-03,910
5,2021-02-21,993
3,2020-12-02,718
4,2020-08-09,483
4,2021-04-18,145
1,2020-08-16,581
5,2020-10-08,428
2,2021-05-03,130
1,2021-05-22,414
2,2020-12-14,437
6,2020-09-26,200
3,2020-06-11,838
3,2020-07-21,38
4,2020-10-22,106
3,2020-12-18,893
4,2021-05-21,971
4,2020-12-01,679
4,2020-12-02,472
1,2020-06-20,756
5,2020-09-24,106
5,2020-10-30,46
4,2021-03-03,77
3,2021-02-06,773
4,2021-03-12,700
1,2020-08-03,773
4,2020-06-30,24
2,2020-09-26,594
4,2021-01-13,263
6,2020-11-08,860
3,2020-07-17,860
2,2020-10-31,586
2,2021-02-09,679
6,2021-01-19,784
1,2020-12-21,516
2,2021-04-06,222
4,2020-08-25,983
6,2021-05-16,483
4,2021-04-15,202
3,2021-04-28,173
3,2020-12-15,350
4,2021-01-16,160
4,2021-03-02,941
4,2021-01-18,287
4,2020-07-11,159
3,2021-03-19,298
3,2020-11-08,228
3,2020-12-21,791
4,2021-03-20,362
4,2021-03-30,250
6,2020-09-09,620
3,2021-04-27,904
5,2020-11-27,577
4,2020-09-11,428
4,2020-12-26,868
3,2020-09-06,103
4,2021-05-04,490
6,2021-02-17,109
3,2020-09-03,413
3,2020-09-24,392
6,2020-09-28,407
3,2021-05-05,266
3,2020-11-07,616
1,2020-10-15,730
3,2020-10-20,704
4,2020-10-19,875
5,2020-06-21,356
2,2020-07-06,502
2,2020-06-11,943
2,2020-06-30,163
5,2020-08-21,908
4,2021-04-09,441
4,2021-04-15,483
2,2021-01-18,760
3,2020-12-11,369
5,2021-01-25,38
3,2020-10-17,418
4,2020-10-27,931
3,2021-04-05,690
4,2020-06-22,362
5,2021-03-20,721
2,2021-04-04,990
4,2020-05-29,145
2,2020-12-14,593
3,2020-05-27,442
6,2020-10-10,679
4,2021-04-13,718
2,2020-06-16,144
3,2020-07-13,521
3,2021-02-07,145
3,2020-09-13,668
5,2021-05-22,802
5,2021-02-13,90
4,2021-01-19,85
2,2021-03-12,225
4,2020-10-30,380
4,2021-04-30,273
4,2020-10-07,579
3,2021-03-25,369
3,2021-02-28,344
1,2020-07-16,503
6,2020-11-20,832
3,2021-01-17,63
3,2020-07-04,119
3,2020-09-28,649
6,2020-11-07,785
3,2021-03-09,418
2,2021-02-21,541
3,2020-11-10,737
6,2021-02-20,230
5,2020-07-12,358
3,2020-08-08,683
4,2021-04-08,735
3,2020-08-01,468
4,2020-09-02,546
6,2021-03-13,46
1,2020-09-25,734
2,2020-11-13,489
3,2021-02-18,137
4,2021-02-26,798
5,2021-01-11,57
4,2021-05-01,847
3,2021-03-03,102
4,2021-04-08,392
4,2020-06-17,924
4,2021-03-08,941
3,2020-12-11,748
2,2021-03-31,817
2,2021-05-24,117
2,2020-08-09,725
1,2020-11-21,886
4,2020-07-17,16
5,2021-03-04,151
2,2020-06-14,954
6,2021-03-31,542
5,2020-12-12,250
4,2020-08-30,965
3,2020-07-20,191
4,2021-04-29,458
1,2020-10-10,638
4,2021-05-18,62
6,2020-10-31,86
2,2020-10-26,901
4,2020-12-19,827
3,2020-11-05,648
4,2020-06-06,506
3,2020-10-12,198
2,2020-08-28,105
2,2020-07-30,85
3,2020-09-04,679
3,2021-04-15,848
2,2021-01-23,448
4,2021-03-24,946
3,2020-06-22,40
5,2020-08-18,906
5,2021-03-02,746
3,2020-09-26,808
3,2020-12-27,577
4,2021-05-23,827
4,2021-04-24,844
2,2020-10-17,844
4,2020-11-05,137
2,2020-12-15,769
6,2020-10-18,383
2,2021-02-11,408
4,2020-07-28,554
4,2020-12-10,269
4,2020-09-24,340
4,2020-12-22,588
6,2021-04-15,240
4,2020-11-01,669
5,2021-05-07,320
2,2020-09-14,135
4,2020-10-27,46
4,2020-07-14,322
5,2020-11-30,590
3,2021-01-28,800
1,2021-04-20,167
6,2020-09-24,211
6,2020-09-14,868
5,2021-03-28,898
3,2020-09-07,941
4,2020-09-11,513
4,2020-12-20,57
4,2021-02-25,292
1,2020-08-10,270
2,2021-02-07,216
3,2021-05-04,352
2,2021-04-09,451
1,2020-09-11,152
3,2020-10-24,429
2,2021-02-06,555
3,2021-03-11,823
4,2020-10-05,374
3,2021-05-08,547
4,2020-11-03,541
4,2020-11-11,487
3,2020-10-11,198
3,2021-05-22,875
5,2020-11-28,440
1,2021-03-07,766
5,2020-08-08,488
6,2020-07-13,259
2,2020-09-18,362
5,2021-01-11,114
5,2020-10-01,115
4,2020-11-25,234
2,2020-10-04,718
3,2021-02-14,487
4,2020-07-07,92
4,2020-09-29,204
6,2020-12-27,676
3,2020-12-10,340
3,2020-11-19,266
4,2021-01-05,13
3,2020-11-29,139
4,2021-01-12,976
3,2020-08-11,185
2,2020-08-29,97
4,2020-11-26,109
2,2021-01-14,401
6,2020-06-16,252
3,2020-12-23,967
3,2020-10-21,285
3,2021-03-22,401
2,2020-08-30,600
3,2020-07-20,373
2,2020-10-31,448
3,2020-10-11,821
3,2021-03-09,346
3,2021-01-08,882
3,2021-01-14,882
3,2020-09-12,261
4,2021-03-21,292
2,2020-12-09,325
4,2021-04-14,533
2,2021-04-20,537
1,2021-04-22,501
2,2021-01-16,906
1,2020-09-01,808
6,2020-10-02,292
2,2020-10-31,818
4,2020-08-07,971
2,2021-01-13,31
5,2021-01-28,383
5,2021-03-30,176
4,2021-04-11,250
4,2020-10-09,778
5,2020-07-23,554
3,2021-03-07,690
2,2020-07-05,773
4,2020-12-25,923
2,2021-04-16,679
4,2021-01-10,324
1,2020-07-05,219
6,2020-07-30,253
1,2020-06-02,499
3,2020-07-25,844
4,2021-04-25,487
4,2021-04-04,285
4,2021-01-04,541
4,2020-10-10,479
2,2020-11-21,685
5,2021-03-30,240
4,2021-04-10,859
2,2020-12-02,354
5,2021-03-18,584
3,2020-11-30,137
3,2020-06-27,533
3,2021-02-06,212
1,2021-02-04,271
3,2021-01-18,96
3,2020-08-05,352
2,2020-08-04,703
4,2021-01-03,97
4,2021-02-19,916
3,2021-02-04,466
3,2020-11-25,488
5,2021-05-06,580
4,2020-11-17,404
4,2020-07-27,231
5,2020-06-05,415
3,2020-08-20,73
4,2020-12-28,936
4,2021-01-31,299
3,2020-09-25,44
2,2020-07-06,79
1,2021-01-22,296
1,2020-11-30,793
4,2020-11-18,908
5,2021-05-06,382
1,2020-05-26,645
5,2020-09-29,600
4,2021-02-20,648
4,2020-07-28,952
4,2020-10-11,801
2,2020-10-08,952
1,2020-11-15,899
4,2020-12-12,735
3,2020-09-19,851
3,2020-08-03,9
3,2021-01-07,688
4,2020-05-28,826
5,2021-04-30,720
3,2020-10-27,34
4,2021-02-16,159
5,2021-03-27,42
3,2020-09-28,984
4,2021-04-27,63
3,2020-06-03,906
1,2020-09-07,53
2,2020-07-30,385
5,2021-05-10,24
4,2020-12-22,230
5,2020-08-05,943
2,2021-05-02,487
4,2020-10-13,359
5,2020-10-01,853
1,2020-06-02,611
4,2020-12-08,606
2,2020-07-26,489
5,2021-03-08,826
3,2021-03-10,648
4,2021-03-25,230
3,2020-07-10,967
3,2020-11-13,701
4,2020-09-19,561
1,2020-09-08,611
5,2021-01-03,843
3,2021-01-02,367
4,2020-12-17,386
1,2020-09-08,532
5,2020-12-10,230
6,2020-08-13,145
3,2021-03-11,178
3,2020-08-16,887
6,2020-08-05,162
1,2020-11-12,528
2,2020-09-07,89
5,2021-03-05,641
1,2020-08-06,448
3,2021-03-19,185
2,2020-07-12,804
4,2021-03-12,881
3,2020-10-12,588
3,2020-11-08,344
5,2021-04-14,756
2,2020-07-28,981
4,2020-11-12,21
3,2021-03-19,18
1,2021-05-05,81
2,2021-02-10,917
2,2020-08-08,309
1,2020-05-27,114
3,2020-06-04,436
5,2020-07-05,113
5,2021-02-13,429
5,2021-02-07,976
5,2021-02-20,155
5,2020-08-17,264
5,2020-10-19,222
5,2020-12-06,893
3,2020-11-07,409
2,2020-11-05,219
4,2020-07-21,539
3,2020-12-10,281
3,2020-06-01,679
3,2021-02-11,882
2,2020-08-22,216
4,2020-12-01,166
6,2020-10-30,955
2,2020-06-24,761
4,2020-09-15,606
2,2021-02-23,479
2,2021-04-28,540
3,2020-07-24,487
2,2021-04-07,498
5,2021-01-13,890
4,2020-11-10,340
2,2020-09-14,322
3,2020-08-11,620
4,2020-10-16,10
2,2020-12-02,6
2,2020-10-29,57
4,2021-01-18,718
3,2020-12-07,717
3,2020-12-30,110
3,2021-02-27,986
4,2020-11-14,790
1,2020-12-06,854
5,2021-01-15,521
6,2021-01-27,10
3,2021-02-04,469
4,2021-02-04,362
4,2020-11-04,554
4,2020-10-21,812
5,2021-03-15,643
1,2020-11-08,524
5,2021-02-16,812
5,2021-04-07,46
6,2021-03-17,790
3,2020-07-09,938
1,2020-07-07,744
5,2021-04-04,999
5,2021-03-03,978
3,2020-06-02,679
1,2021-03-24,361
3,2020-12-06,983
2,2021-03-22,347
4,2021-01-28,454
3,2020-09-11,556
3,2021-02-02,839
4,2020-09-15,848
3,2020-10-29,183
1,2020-12-07,150
3,2020-06-30,684
4,2020-09-03,233
4,2020-06-08,188
4,2020-12-05,567
3,2020-12-14,230
2,2020-09-27,868
5,2021-04-07,887
4,2021-02-20,795
2,2020-08-23,879
4,2020-06-07,381
6,2021-01-12,843
5,2021-05-23,510
5,2021-01-06,568
2,2020-12-10,236
4,2020-09-12,913
1,2020-10-24,581
2,2020-08-21,600
1,2021-04-25,507
4,2021-03-06,976
4,2020-10-31,284
2,2020-09-30,614
3,2020-06-10,145
1,2021-02-16,687
5,2020-10-11,712
1,2021-03-13,981
3,2021-03-17,490
4,2020-11-10,254
2,2021-01-27,562
2,2021-04-25,185
4,2020-08-26,46
3,2020-10-06,74
3,2020-06-03,263
2,2020-12-16,55
2,2021-03-14,35
3,2021-02-02,131
2,2021-04-01,474
4,2020-06-11,106
3,2021-05-06,569
3,2021-02-02,135
6,2020-06-05,700
3,2021-03-09,825
5,2021-01-15,233
4,2020-10-20,954
3,2021-04-04,705
5,2020-11-29,144
4,2021-04-02,920
5,2020-07-29,235
2,2020-11-19,207
4,2021-05-13,85
4,2020-07-27,460
4,2021-04-30,584
4,2020-11-26,498
2,2021-05-19,220
4,2020-10-31,332
2,2020-07-17,528
5,2020-09-16,341
3,2020-11-03,224
4,2021-01-27,324
2,2020-11-09,3
3,2020-09-03,267
5,2020-07-22,464
5,2020-08-14,700
2,2021-02-25,891
3,2020-05-29,145
3,2021-04-04,603
2,2021-03-04,942
6,2021-02-14,24
4,2021-01-17,92
6,2021-01-31,871
5,2021-04-10,795
1,2020-11-17,534
3,2020-11-28,973
6,2021-01-20,590
3,2020-12-28,971
5,2021-04-02,643
4,2021-01-07,644
4,2020-08-15,522
4,2020-12-25,332
1,2020-12-09,186
6,2020-10-20,714
4,2020-09-02,269
2,2021-01-16,753
2,2020-12-07,144
4,2021-01-02,942
5,2020-10-26,662
2,2020-08-29,46
2,2020-07-28,741
5,2020-10-19,883
4,2021-01-12,176
5,2020-09-09,62
5,2020-09-26,871
5,2020-11-23,299
5,2021-04-11,356
3,2021-04-06,299
5,2020-07-14,826
3,2021-04-13,240
3,2020-10-12,785
2,2021-04-09,787
4,2020-12-06,511
2,2020-10-21,221
3,2020-11-21,812
1,2020-12-14,716
5,2021-01-13,190
2,2020-08-22,879
3,2020-09-25,91
2,2021-05-18,74
4,2021-02-03,916
4,2020-06-03,945
4,2021-03-26,869
3,2021-03-05,281
4,2020-07-05,188
6,2021-01-05,230
3,2020-08-18,253
1,2021-01-01,898
3,2021-04-24,577
6,2020-06-04,971
4,2020-07-22,547
4,2020-07-09,498
1,2020-06-23,817
3,2021-02-16,541
4,2021-01-12,691
3,2020-06-28,173
2,2020-08-13,573
2,2020-11-17,99
5,2021-03-31,72
3,2020-09-20,210
1,2020-10-24,447
4,2021-05-16,513
6,2021-03-22,498
2,2020-06-22,288
4,2020-07-11,144
4,2021-02-03,697
6,2020-10-12,818
5,2021-01-05,344
4,2020-10-24,113
4,2020-05-27,21
5,2020-12-24,272
5,2020-11-12,675
1,2020-11-08,245
3,2021-05-16,919
5,2021-02-08,341
3,2021-04-29,767
5,2020-10-24,934
6,2020-08-20,533
3,2020-06-16,145
4,2021-01-17,754
4,2021-01-17,844
2,2020-12-07,473
5,2020-11-10,629
6,2020-06-02,588
5,2020-11-25,341
1,2020-06-21,478
3,2021-03-21,365
4,2021-03-16,535
2,2020-10-25,537
4,2021-02-05,848
6,2020-08-27,825
6,2021-03-18,234
2,2020-08-07,208
6,2021-04-11,848
4,2020-11-26,735
2,2021-02-17,392
2,2021-03-09,539
4,2020-09-02,879
2,2020-07-17,93
4,2021-03-19,914
3,2020-12-01,976
3,2020-06-07,344
5,2020-12-22,737
4,2020-08-11,92
4,2021-01-12,52
3,2020-09-24,915
1,2020-12-10,886
4,2020-07-09,222
4,2021-03-07,916
6,2021-05-13,489
3,2021-03-05,754
4,2020-07-24,221
3,2020-12-26,365
4,2020-10-09,701
4,2020-06-15,299
5,2020-09-28,943
3,2020-11-06,671
3,2020-09-11,222
3,2020-07-07,273
4,2020-06-08,486
3,2020-08-24,741
3,2020-10-02,148
1,2020-07-08,490
3,2020-06-14,514
2,2021-03-03,142
1,2020-11-03,772
3,2020-12-05,643
3,2020-07-16,560
6,2020-08-20,737
5,2020-08-09,269
1,2021-05-22,127
2,2020-10-28,493
2,2020-10-03,774
2,2020-10-16,524
3,2021-05-20,334
4,2020-10-15,285
2,2020-06-30,182
3,2020-07-24,704
2,2020-09-11,163
1,2020-07-15,414
4,2021-02-21,462
4,2020-06-09,165
5,2021-04-20,436
2,2020-06-05,487
1,2021-03-15,390
5,2021-04-21,871
2,2021-05-17,42
3,2020-10-18,760
4,2020-08-04,165
2,2021-02-05,500
5,2020-07-25,356
5,2020-12-13,943
4,2020-06-19,608
4,2020-12-22,340
5,2020-07-16,521
1,2020-07-26,116
3,2020-05-26,223
3,2021-05-11,754
5,2021-04-18,397
6,2021-01-28,161
6,2020-10-29,890
4,2021-05-14,42
5,2021-05-19,941
3,2020-10-03,473
4,2020-05-29,844
6,2021-05-02,790
5,2020-06-24,173
6,2021-03-11,669
4,2021-02-04,230
5,2020-07-04,308
4,2021-01-18,159
4,2021-02-06,826
3,2021-04-23,128
1,2020-06-06,82
4,2020-06-05,239
4,2020-10-23,284
3,2021-04-21,145
3,2020-12-28,179
2,2021-05-14,166
4,2020-11-10,97
5,2021-03-31,440
3,2021-04-11,364
5,2021-04-27,221
3,2021-03-26,180
4,2021-04-08,42
3,2021-02-21,550
4,2021-04-20,57
4,2021-01-10,344
5,2021-04-26,250
4,2020-10-18,288
3,2020-11-03,396
3,2020-08-29,242
3,2020-08-23,440
2,2020-08-31,848
5,2021-01-02,943
4,2021-02-20,990
5,2020-10-17,487
2,2021-02-08,46
5,2021-03-20,196
4,2020-11-26,943
5,2021-03-20,489
3,2020-09-18,21
3,2021-03-20,107
3,2020-11-13,188
4,2021-04-13,0
3,2020-10-27,942
2,2021-04-27,222
6,2020-08-10,914
3,2020-09-11,588
1,2020-09-28,875
5,2020-10-19,648
3,2020-10-18,62
3,2020-11-12,364
2,2021-01-13,328
4,2021-04-13,340
5,2020-08-28,216
3,2021-01-13,92
6,2021-04-02,231
3,2021-03-04,950
4,2020-06-18,392
