"DAY","ID","AGE","RESULT"
21/04/11,507,61,1
20/11/11,650,50,5
21/04/19,131,77,1
20/10/29,575,50,1
20/06/30,741,57,0
21/02/13,622,29,0
21/03/05,950,66,1
21/04/30,104,77,6
21/04/03,750,52,5
21/03/26,242,40,6
20/12/13,325,43,6
20/10/01,956,42,0
21/01/16,934,19,2
21/03/15,841,77,6
20/12/12,195,41,6
20/08/13,778,60,6
21/03/15,141,43,8
21/02/06,371,63,4
21/01/16,222,21,4
20/08/07,498,22,1
21/04/09,122,29,3
20/07/07,127,33,4
21/03/12,37,64,3
21/03/04,669,23,8
21/03/24,549,71,3
21/04/18,366,61,3
20/12/07,628,78,6
21/05/11,221,21,5
21/05/03,681,26,0
20/10/23,697,41,5
21/05/02,808,27,5
20/05/28,524,63,1
20/11/25,657,57,0
20/10/05,809,70,3
20/10/04,995,59,5
21/05/04,393,51,5
20/08/14,856,72,5
21/04/26,728,56,3
20/08/30,951,26,7
20/09/16,290,51,1
21/02/03,752,31,7
20/07/05,282,59,2
21/05/03,73,73,8
20/06/11,675,39,2
21/05/13,334,59,6
20/05/29,291,69,0
21/03/19,830,64,5
20/10/23,816,68,6
21/04/11,409,55,4
21/04/03,672,38,7
21/02/16,523,33,9
21/05/09,469,79,1
21/04/15,440,18,1
21/04/06,554,19,6
21/02/04,13,21,2
20/10/28,469,79,1
20/06/24,829,31,6
20/10/19,35,44,4
21/05/02,420,55,9
21/05/22,627,39,0
21/03/15,35,44,3
20/12/02,815,65,9
21/03/20,896,30,0
21/05/05,325,43,0
20/10/22,341,22,5
21/04/05,427,60,5
21/04/29,860,20,2
21/05/04,815,65,2
21/03/17,955,27,2
21/04/24,254,46,5
21/05/22,870,51,1
20/08/20,817,64,8
20/08/25,444,31,0
20/12/24,174,75,2
21/03/13,6,58,7
20/10/08,119,53,3
20/12/06,563,40,2
21/04/22,221,21,0
20/06/17,821,35,9
21/04/19,359,50,3
21/02/06,598,53,4
20/05/25,958,35,2
20/06/12,445,50,6
21/04/21,4,46,2
21/03/13,166,23,0
20/07/16,190,76,1
20/06/10,436,19,7
21/02/23,746,23,4
21/02/25,287,27,7
20/10/02,606,18,7
20/06/06,743,49,8
21/04/14,432,21,1
20/07/09,946,58,2
21/03/19,941,21,8
20/06/22,948,35,9
21/04/26,455,46,4
20/11/18,617,78,3
21/03/11,521,22,6
21/04/22,806,52,3
20/12/05,849,42,0
21/05/22,93,52,1
20/10/01,645,60,5
21/03/01,924,64,7
21/05/09,209,19,5
20/10/17,254,46,8
21/05/17,198,46,5
21/03/05,216,24,9
21/04/17,676,38,7
20/08/03,375,35,3
20/10/03,804,73,7
20/05/26,144,24,2
20/12/26,817,64,3
20/07/29,628,78,8
20/11/10,144,24,0
20/08/08,207,51,2
20/12/20,709,47,3
21/03/01,800,57,4
20/07/30,929,46,0
20/12/07,281,59,3
21/03/05,162,23,2
20/11/27,513,22,6
21/05/12,876,40,9
21/01/31,195,41,1
21/05/24,372,62,7
21/05/12,765,73,4
21/04/15,337,43,4
21/05/01,30,74,2
20/06/07,348,76,4
21/02/14,363,31,4
21/04/23,433,72,2
20/06/26,866,29,9
20/06/26,221,21,4
20/10/29,14,75,2
20/08/14,306,36,2
20/08/09,625,76,8
20/12/12,732,52,8
20/10/12,520,26,7
21/04/05,785,20,7
20/10/13,160,50,6
20/06/13,900,36,5
21/05/05,335,60,0
20/08/26,79,77,9
21/01/12,195,41,5
20/10/16,652,26,8
21/02/07,166,23,5
21/05/03,725,30,1
20/06/09,435,74,7
20/09/05,927,55,9
20/09/30,972,36,5
20/09/04,202,39,0
21/01/19,773,70,2
21/01/07,81,30,4
20/07/30,667,63,5
21/05/12,966,34,5
21/04/09,403,52,9
20/08/23,817,64,5
20/10/12,940,33,4
21/02/17,20,61,9
21/03/27,428,18,6
21/01/13,539,22,7
21/01/22,133,61,7
20/06/16,22,39,8
21/03/02,693,75,2
21/05/14,713,53,2
21/05/08,35,44,7
20/11/17,944,20,7
20/07/29,384,76,6
20/08/27,71,66,8
21/05/23,952,78,7
20/11/29,175,37,1
20/05/26,146,31,5
21/02/23,381,32,9
21/05/13,683,25,5
20/08/21,974,25,2
21/02/04,4,46,6
20/11/12,723,41,2
20/11/21,785,20,4
20/08/12,559,23,5
20/11/01,774,53,6
21/05/03,155,19,0
20/10/10,811,28,5
20/09/12,127,33,0
20/06/21,328,30,0
21/05/24,405,55,0
20/07/13,708,59,7
20/07/22,366,61,4
20/12/26,815,65,5
20/11/12,471,70,4
20/10/07,689,75,1
20/12/12,449,25,3
21/03/13,939,27,1
20/10/17,122,29,0
20/07/31,284,24,7
20/06/07,855,72,8
20/07/17,619,64,2
20/07/23,238,79,3
20/10/02,350,26,6
20/08/17,401,28,3
20/10/14,153,69,3
21/04/18,345,47,6
21/02/17,722,33,5
21/01/28,892,29,4
21/05/09,746,23,9
20/12/07,353,33,2
21/01/05,217,78,9
20/10/12,139,49,7
20/12/01,884,36,0
20/06/10,943,18,6
20/12/21,354,54,9
20/06/23,94,31,7
21/03/18,889,73,1
20/08/28,356,21,1
21/05/03,745,78,8
21/04/03,567,31,1
21/01/29,641,60,7
20/12/22,803,53,1
21/02/11,957,26,2
20/08/11,914,18,8
20/10/15,671,31,7
21/05/21,20,61,4
21/04/26,639,43,3
21/05/05,596,31,0
20/08/06,889,73,6
21/03/31,820,62,0
20/07/22,271,48,0
20/06/07,642,37,3
21/05/12,355,76,5
20/09/22,406,52,1
21/04/17,180,27,9
20/12/25,588,22,6
21/03/02,459,63,8
20/09/11,881,38,2
20/12/03,956,42,3
20/05/30,244,66,3
21/05/08,852,33,8
21/05/20,725,30,7
21/01/30,472,20,4
20/12/16,138,71,7
21/02/19,465,55,2
20/06/05,320,78,4
21/04/10,167,67,4
20/08/12,431,49,3
21/04/24,136,64,7
21/05/20,187,26,7
21/02/17,323,57,3
20/06/04,248,64,9
21/05/21,282,59,4
20/11/03,422,40,5
20/11/04,340,23,1
21/03/11,474,67,2
21/04/23,953,75,1
21/03/25,383,18,5
21/03/07,236,34,1
20/08/26,274,31,0
20/11/10,925,68,4
21/02/13,330,33,8
20/10/28,347,49,8
20/06/17,945,29,4
20/10/19,69,54,3
21/04/25,70,37,5
21/01/01,116,62,6
20/12/19,583,49,2
21/01/08,793,40,8
21/05/01,592,33,3
21/05/15,204,45,3
20/12/20,768,33,1
21/04/28,210,59,9
20/10/26,461,30,5
21/04/29,982,36,6
21/03/15,104,77,6
21/05/18,680,47,2
21/04/22,48,50,4
21/01/15,122,29,6
21/04/05,476,53,3
20/08/20,770,30,7
20/10/30,505,38,3
21/05/07,448,51,7
20/06/13,946,58,7
20/11/15,125,72,6
21/04/23,144,24,3
20/11/01,268,59,7
20/08/30,869,74,5
21/03/21,395,26,2
21/03/14,491,60,7
20/08/28,489,21,4
20/08/13,537,32,3
20/07/22,386,69,3
21/02/22,334,59,8
20/12/07,260,58,0
21/05/10,244,66,5
21/01/22,703,70,7
21/03/24,433,72,1
21/04/09,293,77,0
20/05/27,32,75,6
21/03/08,377,42,3
21/02/10,261,63,1
20/12/22,863,68,5
21/03/30,423,55,1
20/07/21,955,27,5
20/12/20,865,76,6
21/03/20,882,22,4
21/05/21,76,39,2
20/08/14,738,71,6
21/04/21,134,51,3
21/05/17,453,30,1
21/05/23,53,63,6
20/07/04,92,18,6
21/01/03,485,51,5
21/04/24,706,55,9
20/08/19,335,60,7
20/05/31,963,73,5
21/02/18,984,29,6
20/11/20,634,58,5
20/08/12,136,64,2
20/05/31,277,43,9
20/12/23,685,41,2
21/04/20,949,67,5
20/09/05,380,48,1
20/08/15,753,73,4
21/05/03,505,38,4
21/03/25,593,45,2
21/05/08,793,40,2
21/05/18,148,47,3
20/08/04,357,71,4
21/05/04,788,69,8
20/12/19,651,41,3
21/04/24,996,35,3
20/12/09,255,43,3
20/07/11,949,67,5
21/03/11,549,71,4
20/12/20,183,51,1
21/04/08,621,54,7
21/05/10,921,41,4
20/11/25,243,47,6
21/04/15,573,63,5
20/08/25,506,26,1
20/10/20,832,51,6
21/05/07,565,73,5
20/12/04,871,21,6
21/03/28,195,41,9
21/03/30,208,59,3
21/05/24,260,58,7
21/04/14,635,62,5
21/04/11,554,19,1
20/09/30,769,56,2
20/11/10,95,77,7
21/05/10,71,66,2
20/11/13,408,27,6
20/07/24,631,49,5
20/06/13,805,27,4
20/06/10,607,60,3
20/09/16,200,69,6
20/11/17,833,76,3
20/08/15,902,76,2
21/01/16,201,70,6
21/05/24,755,41,8
20/11/06,464,37,2
21/02/22,540,30,5
21/05/23,670,36,8
21/04/21,556,51,7
20/12/19,140,28,9
21/05/07,954,72,4
21/03/31,734,55,2
21/04/26,99,77,1
20/11/27,107,32,5
20/06/02,779,26,3
20/11/11,936,68,1
20/06/24,463,50,0
21/05/15,791,73,4
21/04/05,152,36,7
20/07/02,761,68,3
20/08/02,803,53,2
21/04/13,70,37,8
20/06/17,272,77,1
21/03/30,174,75,5
21/01/25,153,69,7
20/12/02,480,77,1
20/06/27,236,34,8
20/09/21,893,23,6
20/08/28,475,38,4
20/08/23,524,63,1
21/03/04,679,22,2
21/05/06,915,66,3
20/09/14,553,53,5
21/03/05,93,52,6
21/04/16,469,79,4
21/02/22,290,51,7
20/05/31,781,57,4
21/04/29,788,69,1
21/03/25,819,35,1
20/10/19,293,77,3
20/06/01,263,72,2
21/02/14,446,57,5
21/04/20,319,39,1
20/12/18,366,61,0
20/10/07,189,35,2
21/05/19,691,52,3
20/10/21,293,77,0
20/08/22,249,60,7
20/12/21,805,27,2
20/06/03,944,20,1
20/07/19,877,72,9
20/08/23,237,48,7
20/09/23,705,27,3
21/01/14,311,32,4
20/11/24,602,70,6
21/03/14,256,63,5
21/04/09,383,18,8
20/08/04,689,75,9
21/04/17,908,22,6
20/06/12,258,52,3
21/04/27,65,72,7
21/05/14,343,30,0
20/12/14,967,41,6
20/08/24,868,18,3
21/04/29,242,40,9
20/09/20,421,51,4
21/05/05,857,69,1
20/10/07,785,20,2
20/07/27,892,29,8
20/11/23,27,58,4
21/05/20,258,52,1
21/01/27,845,65,3
21/02/11,574,59,6
20/06/10,415,68,2
21/05/11,729,34,1
21/01/12,860,20,4
20/10/01,119,53,4
20/11/24,737,22,6
20/07/13,56,25,4
20/08/28,882,22,4
21/02/08,557,48,3
20/12/18,14,75,9
20/12/21,544,62,2
21/03/25,735,24,4
20/12/28,581,73,7
20/05/30,786,60,7
21/04/13,509,37,9
21/05/15,712,73,3
21/03/07,100,37,7
20/07/28,362,18,7
21/03/29,372,62,3
21/02/19,640,27,1
20/06/05,642,37,0
21/02/21,988,64,5
21/02/27,667,63,7
21/05/19,792,31,8
20/07/20,275,66,8
21/03/14,171,37,8
21/04/27,496,40,1
21/05/24,616,72,7
21/03/02,188,23,2
21/01/04,282,59,7
21/04/28,178,39,6
21/04/09,77,34,9
20/06/25,287,27,7
21/02/10,2,37,1
20/07/12,670,36,3
21/04/28,801,18,1
20/10/18,71,66,5
21/05/12,893,23,8
20/07/21,827,45,8
20/08/17,580,32,9
20/08/02,716,47,7
20/10/17,36,71,2
21/03/18,721,21,7
21/05/18,756,31,7
20/12/30,548,70,7
20/08/15,230,21,5
21/02/20,483,19,0
20/06/06,647,66,6
21/04/21,488,51,6
21/02/13,739,73,1
20/12/23,298,57,6
21/04/07,881,38,2
20/07/30,394,53,3
20/10/14,42,22,1
20/06/09,419,64,8
20/07/11,761,68,3
20/11/05,236,34,9
21/05/13,248,64,2
21/04/22,858,68,2
21/05/13,42,22,6
20/12/13,84,49,1
21/04/06,389,66,7
21/01/15,165,24,8
20/09/04,738,71,1
21/03/01,947,75,8
20/08/12,525,77,2
21/04/18,12,58,7
20/06/28,790,68,4
21/03/11,580,32,8
21/04/14,732,52,4
20/09/02,387,40,1
21/03/04,524,63,8
20/10/08,318,45,2
21/02/12,554,19,9
21/05/05,447,56,9
20/08/11,432,21,7
20/09/16,718,23,7
20/12/15,45,28,4
20/09/17,187,26,9
20/09/22,608,28,1
20/09/17,860,20,1
21/01/26,605,65,5
20/09/02,911,67,8
21/04/14,985,30,6
21/04/19,815,65,3
20/10/04,401,28,4
20/11/25,708,59,6
20/12/12,237,48,9
21/01/17,531,41,1
20/08/03,632,27,3
21/05/20,570,60,3
21/04/10,865,76,7
20/11/01,978,75,1
20/12/24,765,73,6
20/08/01,612,79,7
20/08/21,393,51,5
21/04/07,951,26,7
21/04/04,511,21,6
21/01/30,857,69,5
21/05/22,853,66,1
21/03/10,862,58,3
21/04/05,235,30,4
21/01/14,297,70,8
21/04/23,44,35,1
21/01/27,451,61,8
21/04/13,982,36,1
20/07/28,75,36,1
20/11/08,544,62,2
21/02/27,818,34,7
21/04/17,69,54,2
21/02/15,500,25,2
21/05/06,283,56,1
21/05/13,544,62,9
20/06/23,285,18,6
21/04/01,365,61,4
21/05/06,818,34,8
21/05/10,21,22,5
21/02/27,375,35,3
20/06/05,693,75,4
20/06/18,509,37,9
21/04/24,622,29,7
21/05/13,948,35,2
21/04/18,111,53,0
20/08/30,177,59,9
20/12/11,428,18,2
21/05/22,279,34,7
20/12/15,260,58,1
21/01/08,283,56,4
20/11/10,32,75,2
20/09/30,821,35,3
20/07/28,304,52,1
21/01/26,847,21,2
20/12/21,39,28,1
20/10/30,575,50,5
21/04/30,894,56,5
21/04/08,638,45,6
21/05/18,979,20,1
21/05/10,937,53,1
20/11/28,658,35,5
20/12/18,256,63,9
21/01/04,902,76,2
20/06/11,500,25,6
20/07/20,812,21,8
21/04/19,270,78,8
20/11/23,378,27,7
20/05/29,728,56,5
20/12/17,969,54,4
21/03/28,47,35,1
20/10/04,0,60,6
20/09/27,704,32,8
21/04/30,153,69,8
20/05/31,892,29,2
21/02/26,690,24,6
20/05/28,296,32,0
20/12/30,394,53,1
20/05/28,756,31,4
21/01/25,527,49,3
20/10/23,259,72,9
21/04/30,20,61,1
21/01/25,273,42,9
20/08/07,257,76,8
20/07/23,594,26,3
21/04/29,789,60,1
21/05/06,544,62,6
21/03/03,671,31,5
21/05/16,630,55,6
21/04/23,73,73,7
21/04/11,742,21,6
21/05/14,247,27,7
21/05/21,123,67,2
21/03/20,192,64,9
20/06/04,585,73,0
20/12/19,708,59,0
21/04/27,35,44,7
20/06/27,923,50,0
21/02/21,897,39,3
20/08/02,248,64,0
20/11/11,126,38,7
21/03/11,21,22,3
21/05/05,903,74,7
20/08/18,417,74,3
21/02/20,232,32,0
20/09/02,603,35,0
21/02/16,507,61,2
20/06/04,348,76,5
21/03/02,201,70,7
21/02/11,833,76,6
20/11/12,467,51,6
21/01/17,445,50,8
20/11/17,810,45,0
20/10/07,268,59,7
20/07/21,140,28,4
21/01/21,31,37,7
20/08/08,459,63,6
21/04/28,148,47,1
21/04/07,262,49,2
21/04/07,502,78,9
21/04/19,637,42,4
21/05/23,241,39,0
20/08/01,275,66,7
21/03/04,305,48,0
20/08/09,566,69,1
20/12/20,673,33,3
20/06/15,75,36,4
21/03/31,249,60,5
21/01/22,699,45,9
20/06/20,548,70,6
20/12/26,220,26,2
21/02/28,94,31,0
20/05/28,854,30,6
20/10/18,731,30,5
21/05/22,206,77,2
20/07/25,105,25,1
21/05/15,398,73,2
20/06/27,374,49,3
20/09/05,212,37,3
21/05/08,221,21,4
20/06/10,14,75,2
21/01/17,263,72,6
20/08/16,703,70,5
21/04/15,801,18,2
21/05/09,945,29,2
21/03/26,318,45,6
21/03/09,41,68,3
21/02/20,134,51,7
21/04/18,863,68,0
20/06/13,981,54,7
21/05/24,80,26,1
21/05/05,730,77,6
21/03/29,159,24,5
21/01/08,646,44,9
21/05/07,119,53,2
21/04/28,450,46,2
21/03/18,206,77,6
20/11/28,466,51,6
21/03/24,664,45,7
20/07/10,207,51,1
20/10/06,35,44,6
20/09/05,493,25,8
21/05/08,593,45,5
20/11/30,214,63,8
20/12/13,643,56,6
20/07/25,158,60,8
20/06/17,828,43,5
20/10/04,303,55,7
21/03/05,819,35,4
21/02/19,804,73,7
20/10/13,327,46,5
21/05/16,826,24,4
21/04/22,998,65,5
20/06/10,973,37,7
21/04/13,822,71,8
21/04/25,686,42,6
21/02/19,129,62,6
21/05/23,391,39,6
20/10/26,334,59,4
21/05/10,997,48,8
20/09/13,472,20,6
21/05/21,300,46,0
20/08/11,994,37,5
21/02/07,360,78,8
20/10/22,590,53,9
20/08/22,967,41,0
20/12/20,656,48,6
21/04/10,361,64,5
20/07/22,268,59,5
21/04/14,764,76,7
20/12/23,293,77,6
20/12/06,215,76,7
20/11/07,440,18,9
20/12/18,331,46,0
21/01/31,416,76,3
20/10/31,165,24,2
21/03/16,138,71,0
20/12/01,99,77,9
21/04/18,451,61,5
21/02/08,590,53,0
20/05/26,446,57,1
20/05/25,561,65,1
20/10/11,940,33,8
20/09/06,279,34,6
20/11/19,119,53,8
21/02/22,214,63,7
21/05/06,274,31,9
21/01/27,462,69,6
20/06/08,617,78,0
21/04/18,47,35,8
21/04/08,896,30,5
20/07/02,503,44,4
21/05/20,561,65,6
20/10/24,85,23,6
21/05/04,662,72,8
21/05/10,553,53,8
20/12/13,715,72,2
21/03/05,570,60,8
20/12/08,216,24,2
20/10/10,918,63,6
20/09/17,952,78,5
20/08/28,779,26,4
20/07/10,581,73,5
20/12/02,289,52,6
20/12/31,657,57,8
20/09/16,215,76,2
20/08/03,861,77,7
21/03/26,63,18,1
21/04/04,279,34,5
21/04/18,503,44,3
21/01/25,283,56,9
21/04/19,515,29,4
21/03/08,412,55,7
20/05/30,814,35,4
21/03/05,520,26,7
21/04/15,762,35,9
21/04/13,566,69,6
21/01/07,676,38,4
20/09/03,613,28,3
20/11/09,768,33,4
21/04/08,770,30,8
21/04/18,901,62,0
21/03/28,460,32,3
20/08/13,892,29,9
21/04/16,461,30,6
21/05/23,192,64,5
21/03/07,932,78,6
21/05/05,21,22,7
21/04/22,254,46,4
21/05/18,518,74,5
20/10/09,752,31,1
20/12/02,782,27,5
20/06/25,985,30,9
20/08/20,346,62,5
21/02/22,606,18,5
21/03/31,959,53,3
21/04/01,888,60,4
20/10/25,921,41,9
20/12/28,36,71,9
21/01/24,418,57,2
21/03/30,599,64,6
20/08/11,159,24,9
21/05/13,325,43,0
21/02/24,846,60,4
21/05/16,507,61,5
20/11/30,281,59,2
21/05/19,14,75,3
21/02/20,338,57,4
20/06/03,663,59,5
21/01/30,634,58,1
20/09/19,403,52,8
21/04/08,922,34,9
21/02/03,798,51,1
21/04/26,108,61,8
21/04/03,241,39,9
20/06/10,974,25,7
21/02/17,301,68,2
21/02/08,493,25,2
20/11/30,874,77,1
21/04/30,897,39,1
20/12/26,980,41,5
20/12/22,206,77,2
21/04/24,600,57,9
20/08/14,652,26,2
21/03/27,26,41,5
20/06/01,670,36,8
21/03/12,968,54,9
21/05/22,939,27,5
21/05/04,939,27,1
20/05/28,478,26,2
21/02/13,348,76,0
20/09/03,501,39,0
21/01/29,56,25,5
21/05/12,670,36,1
